Code,Median_Income
BK01,73595.0
BK02,103475.0
BK03,56440.0
BK04,55385.0
BK05,39162.0
BK06,127139.0
BK07,65340.0
BK08,61301.0
BK09,55015.0
BK10,73070.0
BK11,56523.0
BK12,50331.0
BK13,38321.0
BK14,59727.0
BK15,65760.0
BK16,28343.0
BK17,54214.0
BK18,79032.0
BK55,
BK56,200000.0
BX01,25741.0
BX02,26957.0
BX03,27563.0
BX04,31730.0
BX05,30217.0
BX06,25548.0
BX07,37973.0
BX08,61182.0
BX09,41641.0
BX10,59353.0
BX11,55054.0
BX12,54864.0
BX26,
BX27,54998.0
BX28,14998.0
MN01,181087.0
MN02,127115.0
MN03,45293.0
MN04,104027.0
MN05,146945.0
MN06,127694.0
MN07,120173.0
MN08,126128.0
MN09,52839.0
MN10,51276.0
MN11,33927.0
MN12,55616.0
MN64,
QN01,68922.0
QN02,72151.0
QN03,60288.0
QN04,53670.0
QN05,76568.0
QN06,80228.0
QN07,55654.0
QN08,69883.0
QN09,71937.0
QN10,78627.0
QN11,86150.0
QN12,65383.0
QN13,90246.0
QN14,56830.0
QN80,
QN81,
QN82,
QN83,
QN84,49998.0
SI01,68126.0
SI02,86817.0
SI03,96785.0
SI95,78205.0
