PUMA,Shape_Leng,Shape_Area,geometry,data_value
3701,53227.11361,9.79E+07,"POLYGON ((-73.88775 40.88429, -73.88759 40.884...",16.491276
3702,106167.5923,1.89E+08,"POLYGON ((-73.86477 40.90201, -73.86305 40.901...",14.841
3703,305269.1388,2.68E+08,"MULTIPOLYGON (((-73.78833 40.83467, -73.78931 ...",15.3362
3704,47970.20302,1.06E+08,"POLYGON ((-73.85089 40.84275, -73.85121 40.842...",19.2131
3705,68697.59992,1.22E+08,"POLYGON ((-73.89933 40.82775, -73.89941 40.827...",17.9087
3707,37374.59531,4.23E+07,"POLYGON ((-73.89964 40.86221, -73.89944 40.862...",16.505
3708,35002.70558,5.59E+07,"POLYGON ((-73.92478 40.84475, -73.92388 40.844...",19.9736
3709,73288.77738,1.24E+08,"MULTIPOLYGON (((-73.83668 40.81759, -73.83696 ...",15.457719
3710,90067.95436,1.38E+08,"MULTIPOLYGON (((-73.89681 40.79581, -73.89694 ...",17.1775
3801,62589.05515,8.12E+07,"MULTIPOLYGON (((-73.92641 40.87762, -73.92635 ...",17.551667
3802,37927.82456,4.69E+07,"POLYGON ((-73.96203 40.81809, -73.96188 40.818...",18.200333
3803,38111.68867,3.98E+07,"POLYGON ((-73.94177 40.80709, -73.94226 40.806...",17.221667
3804,62599.50247,6.46E+07,"MULTIPOLYGON (((-73.92134 40.80085, -73.92114 ...",19.253
3805,54449.50338,5.52E+07,"MULTIPOLYGON (((-73.95764 40.74841, -73.95749 ...",20.12
3806,47538.42599,8.85E+07,"POLYGON ((-73.96148 40.79865, -73.96003 40.798...",25.996027
3807,71863.83604,8.56E+07,"POLYGON ((-73.99612 40.77328, -73.99434 40.772...",22.573006
3808,43083.55052,4.50E+07,"MULTIPOLYGON (((-73.96237 40.72421, -73.96201 ...",28.079315
3809,36351.61762,4.87E+07,"MULTIPOLYGON (((-73.98237 40.70554, -73.98246 ...",21.6135
3810,122526.9585,8.10E+07,"MULTIPOLYGON (((-74.01093 40.68449, -74.01193 ...",18.852
3901,189931.875,5.71E+08,"POLYGON ((-74.12187 40.57511, -74.12187 40.575...",12.520548
3902,153372.6229,6.75E+08,"POLYGON ((-74.19298 40.63314, -74.19268 40.632...",15.122603
3903,153890.5249,3.76E+08,"MULTIPOLYGON (((-74.15946 40.64145, -74.15975 ...",16.802192
4001,73897.49597,1.15E+08,"POLYGON ((-73.95440 40.73911, -73.95428 40.739...",19.6236
4002,44917.41302,7.07E+07,"POLYGON ((-73.90580 40.69413, -73.90504 40.693...",20.0629
4003,44724.50046,6.40E+07,"POLYGON ((-73.94239 40.70101, -73.94220 40.700...",24.5072
4004,73010.09563,8.67E+07,"POLYGON ((-73.97232 40.70908, -73.97067 40.707...",23.9733
4005,95462.48348,1.15E+08,"POLYGON ((-74.00179 40.69218, -74.00077 40.691...",21.669178
4006,42559.30696,6.19E+07,"POLYGON ((-73.92916 40.68344, -73.92901 40.682...",18.159863
4007,44860.77814,7.22E+07,"POLYGON ((-73.90321 40.67874, -73.90256 40.678...",16.049667
4008,97558.46708,1.64E+08,"MULTIPOLYGON (((-73.88829 40.64672, -73.88829 ...",19.726849
4009,368930.9372,3.44E+08,"MULTIPOLYGON (((-73.91513 40.58627, -73.91510 ...",13.94
4010,49993.70739,8.59E+07,"POLYGON ((-73.93956 40.65606, -73.93859 40.656...",15.624333
4011,34953.42453,4.76E+07,"POLYGON ((-73.95527 40.67012, -73.95327 40.670...",21.509452
4012,96983.62714,1.12E+08,"POLYGON ((-73.99684 40.66903, -73.99667 40.668...",23.278904
4013,48170.458,1.07E+08,"POLYGON ((-74.03407 40.64431, -74.03288 40.643...",18.482329
4014,51089.06821,8.77E+07,"POLYGON ((-73.97819 40.64753, -73.97777 40.645...",15.787667
4015,50007.97131,8.10E+07,"POLYGON ((-73.95375 40.63859, -73.95360 40.638...",15.091
4016,109480.1882,1.21E+08,"POLYGON ((-73.94406 40.61199, -73.94380 40.610...",14.469667
4017,48986.15293,1.03E+08,"POLYGON ((-74.00962 40.60004, -74.00977 40.600...",14.873667
4018,76220.72297,9.60E+07,"POLYGON ((-73.96011 40.58341, -73.96005 40.583...",13.912667
4101,76015.20397,1.44E+08,"MULTIPOLYGON (((-74.05051 40.56642, -74.05047 ...",16.8944
4102,64416.93698,1.17E+08,"MULTIPOLYGON (((-73.89009 40.77363, -73.89034 ...",15.6042
4103,149451.5674,3.30E+08,"MULTIPOLYGON (((-73.86788 40.78736, -73.86803 ...",15.6527
4104,104978.0895,2.60E+08,"MULTIPOLYGON (((-73.74461 40.77895, -73.74429 ...",15.350667
4105,206027.4558,5.50E+08,"POLYGON ((-73.72650 40.69689, -73.72626 40.690...",15.225667
4106,79842.9341,2.07E+08,"POLYGON ((-73.76317 40.73826, -73.76268 40.737...",16.9214
4107,100417.2062,1.08E+08,"POLYGON ((-73.85696 40.76407, -73.85667 40.763...",15.017671
4108,37999.63817,7.78E+07,"POLYGON ((-73.84732 40.73877, -73.84721 40.738...",16.546164
4109,95211.01946,1.67E+08,"POLYGON ((-73.93746 40.74898, -73.93740 40.748...",17.8911
4110,71251.3268,2.05E+08,"POLYGON ((-73.90673 40.72773, -73.90572 40.728...",15.6442
4111,56320.39649,1.33E+08,"POLYGON ((-73.82264 40.71175, -73.82175 40.711...",15.3427
4112,72793.60407,2.60E+08,"POLYGON ((-73.77154 40.66796, -73.77342 40.668...",14.814333
4113,111168.4,1.72E+08,"MULTIPOLYGON (((-73.85722 40.65028, -73.85902 ...",15.4521
4114,402487.0737,3.11E+08,"MULTIPOLYGON (((-73.82645 40.59053, -73.82642 ...",12.174333
